 40... Kxf7#  ,K x  ,https://lichess.org/fdyz2wxy
 56.   Kxf5#  ,K x  ,https://lichess.org/b4jojmfw
 58... Kxc3#  ,K x ?,https://lichess.org/tm13wo8l
 51.   Kxe5#  ,K x  ,https://lichess.org/lbe0561l
 26... Kxf7#  ,K x  ,https://lichess.org/p3v5h3zr
 57... Kxf1#  ,K x  ,https://lichess.org/2kuhho05
 73... Kxf2#  ,K x  ,https://lichess.org/8wefttpe
 56.   Kxg5#  ,K x ?,https://lichess.org/qzhb47bt
 62.   Kxe2#  ,K x ?,https://lichess.org/pl9rl360
 44.   Kxe6#  ,K x ?,https://lichess.org/f4usvotk
 40.   Kxg2#  ,K x  ,https://lichess.org/ptpt0skl
 60.   Kxg6#  ,K x ?,https://lichess.org/yq5fgq1h
 66.   Kxf6#  ,K x ?,https://lichess.org/rc6bemjp
 44... Kxe5#  ,K x ?,https://lichess.org/14tavlcw
 66... Kxf3#  ,K x ?,https://lichess.org/5zv8pp6j
 24.   Kxd3#  ,K x ?,https://lichess.org/5m4lc06p
 71... Kxg3#  ,K x ?,https://lichess.org/sg9qh2dk
 31.   Kxf4#  ,K x  ,https://lichess.org/japqxt0g
 50... Kxd3#  ,K x ?,https://lichess.org/j7co1b1h
 54.   Kxd6#  ,K x  ,https://lichess.org/55garzql
 43.   Kxb6#  ,K x  ,https://lichess.org/hsicaiw6
 36... Kxe5#  ,K x  ,https://lichess.org/atn3mgop
 49... Kxg3#  ,K x  ,https://lichess.org/5l9cmvq8
 83.   Kxb6#  ,K x ?,https://lichess.org/m5kdbrj7
 42.   Kxg3#  ,K x ?,https://lichess.org/5k0dglf7
 42... Kxc2#  ,K x  ,https://lichess.org/kt6vpuna
 55... Kxe3#  ,K x  ,https://lichess.org/e4wx3195
 41... Kxf2#  ,K x  ,https://lichess.org/cya6xwtv
 32.   Kxb2#  ,K x  ,https://lichess.org/6w3Sec1z
 35... Kxf3#  ,K x ?,https://lichess.org/Tk9HSuNS
 52... Kxg3#  ,K x ?,https://lichess.org/y6IEZAlp
 41.   Kxe5#  ,K x  ,https://lichess.org/N4C0lJOx
 47... Kxd7#  ,K x  ,https://lichess.org/bg7eVaxY
 49.   Kxf5#  ,K x  ,https://lichess.org/pct2xLUf
 66.   Kxf6#  ,K x  ,https://lichess.org/uVrKijui
 48... Kxf7#  ,K x ?,https://lichess.org/Kg8bVqCs
 40... Kxc5#  ,K x  ,https://lichess.org/giAbKdCe
 71... Kxg3#  ,K x ?,https://lichess.org/Mi8RdKHC
 43.   Kxe1#  ,K x ?,https://lichess.org/6tdgdzQC
 37... Kxg5#  ,K x  ,https://lichess.org/ysw1xfFD
 53... Kxc7#  ,K x ?,https://lichess.org/Yvh6aD35
 64.   Kxh6#  ,K x  ,https://lichess.org/ieuuIO5b
 47... Kxe3#  ,K x  ,https://lichess.org/2iRCY8p6
 47.   Kxf4#  ,K x  ,https://lichess.org/wmJnBtSF
 27.   Kxg2#  ,K x  ,https://lichess.org/WFgR9U8B
 35.   Kxf4#  ,K x ?,https://lichess.org/OPmYTOiT
 37.   Kxe4#  ,K x ?,https://lichess.org/hYq5zRqn
 52... Kxb3#  ,K x  ,https://lichess.org/TWzybdYw
 57... Kxb3#  ,K x  ,https://lichess.org/u3gYlf7E
 41.   Kxc7#  ,K x  ,https://lichess.org/9O6j5l1R
 57.   Kxf6#  ,K x ?,https://lichess.org/WTrQgmgk
 46... Kxf4#  ,K x ?,https://lichess.org/1KZqQQo7
 62.   Kxg3#  ,K x ?,https://lichess.org/dGTi4DhE
 51.   Kxg4#  ,K x  ,https://lichess.org/JZbloQNm
 60... Kxc5#  ,K x ?,https://lichess.org/YHJi6bgN
 60... Kxe3#  ,K x ?,https://lichess.org/GBkAyVUj
 39... Kxg4#  ,K x ?,https://lichess.org/eLFxAuek
 51... Kxe4#  ,K x  ,https://lichess.org/kMgpE7fs
 43.   Kxc2#  ,K x  ,https://lichess.org/X2JCDfpW
 34.   Kxe2#  ,K x  ,https://lichess.org/6lgHfXmq
 33.   Kxf4#  ,K x  ,https://lichess.org/F6FO6LEt
 48... Kxh3#  ,K x  ,https://lichess.org/qx6XiSe4
 59.   Kxf6#  ,K x  ,https://lichess.org/mw0BLYuN
 60... Kxf2#  ,K x ?,https://lichess.org/xM6jgZFC
 12.   Kxf3#  ,K x  ,https://lichess.org/cEhnBHRf
 73... Kxf3#  ,K x ?,https://lichess.org/sflQAGmK
 40.   Kxg3#  ,K x  ,https://lichess.org/Wv6oyrd6
 64... Kxg4#  ,K x  ,https://lichess.org/ca67uLWI
 79... Kxg3#  ,K x ?,https://lichess.org/hOBEk7FL
 54.   Kxe6#  ,K x ?,https://lichess.org/byDnsvx8
 48.   Kxf3#  ,K x ?,https://lichess.org/LqXwmvrF
 48... Kxf4#  ,K x  ,https://lichess.org/0XD2XO3N
 69.   Kxe5#  ,K x ?,https://lichess.org/IKxxBBvY
 63.   Kxf8#  ,K x ?,https://lichess.org/9qrAESGY
 53.   Kxb6#  ,K x  ,https://lichess.org/e0sabgSu
 52.   Kxb6#  ,K x  ,https://lichess.org/J7xt8Ybp
 29.   Kxg2#  ,K x  ,https://lichess.org/VXNK2v0p
 38... Kxe7#  ,K x  ,https://lichess.org/ohtFbuDX
 53... Kxf2#  ,K x ?,https://lichess.org/0PuNt8DL
 63.   Kxe6#  ,K x  ,https://lichess.org/NvrtvIwc
 37... Kxg6#  ,K x  ,https://lichess.org/Zaq5vjdh
 35... Kxc7#  ,K x  ,https://lichess.org/f8ykKCKo
 63... Kxf7#  ,K x  ,https://lichess.org/Ltxug06E
 59... Kxc3#  ,K x  ,https://lichess.org/MSBJCBEk
 42... Kxc3#  ,K x ?,https://lichess.org/zVRqIz0g
 33... Kxf7#  ,K x  ,https://lichess.org/LD9VSqWx
 36... Kxf7#  ,K x  ,https://lichess.org/yrpFqJ4t
 41... Kxg2#  ,K x ?,https://lichess.org/5zrp0hEt
 32.   Kxc2#  ,K x ?,https://lichess.org/XaCLd8rC
 54... Kxf4#  ,K x ?,https://lichess.org/hIY0TdqH
 62... Kxc3#  ,K x ?,https://lichess.org/tP5v7GRG
 59... Kxg3#  ,K x  ,https://lichess.org/mOhyio5o
 53.   Kxf5#  ,K x ?,https://lichess.org/hXlIpj7B
 44.   Kxg3#  ,K x ?,https://lichess.org/PhMICaWw
 85... Kxc4#  ,K x  ,https://lichess.org/raUtaAdy
 40... Kxf5#  ,K x  ,https://lichess.org/olekCRZQ
 43... Kxb3#  ,K x ?,https://lichess.org/sueGdpSj
 55... Kxg3#  ,K x  ,https://lichess.org/OMvPmCq7
 79... Kxg3#  ,K x  ,https://lichess.org/YouAZp5H
 37... Kxf7#  ,K x ?,https://lichess.org/dxhukkMH
 21... Kxc7#  ,K x ?,https://lichess.org/SeNXt1w5
 78.   Kxb6#  ,K x  ,https://lichess.org/LlBrCXD1
 48.   Kxg4#  ,K x ?,https://lichess.org/LSki7QtB
 41... Kxf5#  ,K x ?,https://lichess.org/o2RczkdU
 50.   Kxf4#  ,K x ?,https://lichess.org/lZcDPsEA
 55.   Kxc5#  ,K x  ,https://lichess.org/mH91Pn2W
 40... Kxd2#  ,K x ?,https://lichess.org/TZTdxAjp
